epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2194.9,1.30165,1.2333,1.33281,0.7848,0.66472,0.72509,0.30128,1.60546,1.30633,1.71533,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,2249.22,1.27093,1.20264,1.32028,0.78685,0.6616,0.73066,0.30901,1.59363,1.2832,1.70498,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,2303.66,1.28505,1.19928,1.31819,0.79888,0.67064,0.73115,0.30268,1.62259,1.30863,1.73161,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,2358.03,1.28375,1.19292,1.31628,0.808,0.67863,0.74094,0.31047,1.59179,1.27276,1.72213,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,2412.93,1.26453,1.18289,1.31182,0.79699,0.67588,0.73602,0.30336,1.60526,1.2837,1.71886,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,2467.25,1.27239,1.16859,1.31395,0.78223,0.6859,0.73389,0.29953,1.64059,1.30542,1.73692,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,2521.8,1.25622,1.175,1.31059,0.79518,0.67899,0.73631,0.30607,1.60044,1.27236,1.73009,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,2576.17,1.23997,1.14027,1.30081,0.82155,0.67679,0.74555,0.31257,1.58946,1.25262,1.72164,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,2630.65,1.23272,1.13465,1.2943,0.77933,0.66185,0.73145,0.29443,1.62682,1.30531,1.73936,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,2685.11,1.2055,1.12183,1.27926,0.79425,0.67074,0.74036,0.31137,1.59151,1.26203,1.71041,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
