epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,36356,0.82163,0.67584,0.00592,0.82719,0.74698,0.82831,0.65032,0.73252,0.66474,0.00845,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,36981.6,0.81787,0.66464,0.00589,0.82736,0.74739,0.82835,0.65047,0.73119,0.66395,0.00843,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,37607.8,0.81429,0.65958,0.00586,0.82259,0.75117,0.82777,0.64994,0.73042,0.66224,0.00842,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,38233,0.81012,0.65483,0.00579,0.81761,0.75886,0.82664,0.65012,0.72967,0.66001,0.00841,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,38858,0.80654,0.64914,0.00581,0.82343,0.75916,0.82947,0.6511,0.72907,0.65794,0.0084,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,39482.7,0.79821,0.64055,0.00572,0.81932,0.75841,0.82937,0.65135,0.7282,0.65751,0.00839,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,40107.1,0.79577,0.63925,0.00568,0.82415,0.7582,0.8293,0.65143,0.7277,0.65605,0.00838,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,40731.1,0.79385,0.63866,0.00566,0.81918,0.76035,0.82905,0.65091,0.72676,0.65479,0.00837,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,41356,0.7888,0.6231,0.0056,0.82328,0.75798,0.82954,0.65167,0.72571,0.65289,0.00836,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,41982.1,0.78768,0.62477,0.00555,0.82263,0.75297,0.82823,0.65142,0.72515,0.65143,0.00835,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,42607.2,0.78265,0.61605,0.00553,0.82739,0.74773,0.82932,0.65318,0.72397,0.65073,0.00833,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,43233.4,0.77538,0.6098,0.00549,0.83119,0.74069,0.82903,0.65321,0.72296,0.64923,0.00831,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,43858,0.77079,0.60403,0.00541,0.83423,0.73971,0.82907,0.65423,0.72166,0.64815,0.00829,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,44484.8,0.76825,0.59457,0.00536,0.83401,0.74572,0.8293,0.6552,0.72147,0.6469,0.00828,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,45109.5,0.76041,0.58738,0.00534,0.80901,0.76243,0.82986,0.65566,0.72057,0.64574,0.00826,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
